@relation EvolutionChain

@attribute EventT_0_1 {forming,continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_1_2 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_2_3 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_3_4 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_4_5 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_5_6 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventT_6_7 {continuing,growing,shrinking,merging,splitting,dissolving}

@data
forming,growing,merging,splitting,merging,splitting,shrinking
forming,growing,growing,merging,splitting,growing,dissolving
forming,growing,growing,merging,splitting,growing,dissolving
forming,growing,splitting,merging,splitting,growing,dissolving
forming,growing,splitting,merging,splitting,growing,dissolving
shrinking,continuing,merging,splitting,merging,splitting,dissolving
shrinking,continuing,merging,splitting,merging,splitting,dissolving
shrinking,continuing,merging,splitting,merging,splitting,dissolving
shrinking,continuing,merging,splitting,merging,splitting,dissolving
forming,growing,merging,splitting,merging,splitting,dissolving
forming,growing,merging,splitting,merging,splitting,dissolving
forming,growing,merging,splitting,merging,splitting,dissolving
forming,growing,merging,splitting,merging,splitting,dissolving
forming,shrinking,growing,shrinking,growing,continuing,shrinking
forming,merging,shrinking,merging,splitting,shrinking,dissolving
forming,growing,shrinking,continuing,shrinking,growing,dissolving
forming,growing,continuing,growing,shrinking,shrinking,growing
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,dissolving
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,dissolving
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,dissolving
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,dissolving
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
forming,growing,splitting,merging,splitting,merging,splitting
shrinking,shrinking,continuing,growing,merging,merging,splitting
shrinking,continuing,merging,splitting,merging,splitting,growing
shrinking,continuing,merging,splitting,merging,splitting,growing
shrinking,growing,shrinking,growing,merging,splitting,merging
forming,continuing,continuing,continuing,continuing,continuing,shrinking
continuing,continuing,continuing,continuing,continuing,shrinking,growing
continuing,continuing,continuing,continuing,shrinking,growing,shrinking
continuing,continuing,continuing,shrinking,growing,shrinking,dissolving
forming,growing,merging,splitting,merging,splitting,growing
forming,growing,merging,splitting,merging,splitting,growing
forming,growing,growing,shrinking,growing,merging,splitting
growing,growing,shrinking,growing,merging,splitting,shrinking
forming,shrinking,growing,shrinking,growing,shrinking,dissolving
forming,growing,shrinking,shrinking,merging,merging,splitting
forming,growing,growing,shrinking,merging,splitting,shrinking
forming,growing,growing,merging,splitting,merging,splitting
