@relation EvolutionChain

@attribute EventTn_3Tn_2 {forming,continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventTn_2Tn_1 {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventTn_1Tn {continuing,growing,shrinking,merging,splitting,dissolving}
@attribute EventTnTn1 {continuing,growing,shrinking,merging,splitting,dissolving}

@data
forming,continuing,continuing,dissolving
forming,growing,shrinking,shrinking
forming,continuing,continuing,dissolving
forming,growing,shrinking,dissolving
forming,continuing,growing,continuing
forming,continuing,shrinking,dissolving
forming,growing,shrinking,dissolving
forming,continuing,continuing,dissolving
forming,growing,shrinking,dissolving
forming,growing,continuing,dissolving
forming,continuing,continuing,dissolving
forming,growing,growing,shrinking
forming,continuing,shrinking,continuing
forming,continuing,continuing,dissolving
forming,growing,continuing,shrinking
forming,continuing,continuing,dissolving
forming,growing,shrinking,continuing
forming,continuing,continuing,dissolving
splitting,growing,splitting,dissolving
forming,continuing,continuing,dissolving
forming,growing,shrinking,dissolving
forming,growing,shrinking,dissolving
forming,continuing,continuing,continuing
forming,growing,shrinking,dissolving
forming,continuing,continuing,growing
forming,growing,shrinking,dissolving
forming,continuing,continuing,dissolving
forming,growing,growing,splitting
forming,continuing,shrinking,dissolving
forming,growing,shrinking,dissolving
forming,continuing,continuing,dissolving
forming,continuing,continuing,dissolving
forming,continuing,growing,shrinking
forming,shrinking,shrinking,dissolving
growing,continuing,merging,splitting
growing,shrinking,shrinking,dissolving
forming,growing,shrinking,growing
forming,growing,growing,shrinking
forming,continuing,continuing,continuing
forming,growing,continuing,shrinking
forming,continuing,continuing,dissolving
forming,continuing,continuing,dissolving
forming,continuing,continuing,dissolving
forming,growing,merging,splitting
forming,growing,shrinking,dissolving
forming,continuing,continuing,continuing
forming,continuing,shrinking,dissolving
forming,continuing,continuing,dissolving
forming,growing,merging,shrinking
forming,continuing,continuing,dissolving
forming,merging,shrinking,merging
forming,continuing,shrinking,continuing
forming,merging,shrinking,merging
growing,growing,growing,merging
growing,growing,growing,merging
growing,continuing,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
continuing,growing,continuing,dissolving
merging,shrinking,growing,shrinking
continuing,merging,shrinking,shrinking
merging,shrinking,growing,shrinking
shrinking,continuing,continuing,dissolving
merging,shrinking,growing,shrinking
merging,merging,merging,splitting
merging,merging,merging,splitting
shrinking,growing,shrinking,continuing
shrinking,growing,shrinking,continuing
continuing,continuing,continuing,dissolving
forming,growing,growing,continuing
forming,growing,growing,merging
forming,continuing,continuing,continuing
forming,continuing,continuing,continuing
forming,continuing,growing,growing
forming,growing,growing,shrinking
forming,continuing,continuing,continuing
forming,growing,shrinking,dissolving
forming,continuing,continuing,continuing
forming,continuing,continuing,dissolving
forming,continuing,merging,merging
forming,continuing,merging,merging
forming,growing,merging,splitting
forming,growing,shrinking,dissolving
forming,growing,shrinking,continuing
forming,continuing,merging,splitting
forming,continuing,continuing,continuing
forming,continuing,continuing,continuing
forming,continuing,merging,splitting
forming,continuing,merging,splitting
forming,growing,splitting,growing
forming,growing,merging,splitting
forming,growing,growing,shrinking
forming,growing,growing,merging
forming,growing,growing,merging
growing,growing,growing,shrinking
continuing,merging,splitting,continuing
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
shrinking,shrinking,growing,growing
continuing,shrinking,shrinking,continuing
merging,splitting,continuing,dissolving
merging,splitting,continuing,dissolving
shrinking,merging,splitting,continuing
forming,continuing,continuing,dissolving
forming,continuing,continuing,growing
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,merging,splitting,continuing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,continuing,growing,shrinking
forming,growing,shrinking,growing
forming,growing,continuing,shrinking
forming,continuing,shrinking,dissolving
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,shrinking,dissolving
forming,continuing,merging,splitting
forming,continuing,continuing,continuing
forming,splitting,shrinking,merging
forming,merging,splitting,continuing
forming,continuing,growing,shrinking
forming,shrinking,shrinking,growing
forming,growing,shrinking,dissolving
forming,merging,splitting,merging
forming,growing,merging,splitting
forming,growing,shrinking,shrinking
forming,merging,splitting,continuing
forming,continuing,continuing,dissolving
forming,merging,splitting,continuing
forming,growing,growing,shrinking
forming,merging,splitting,merging
forming,growing,growing,merging
forming,growing,shrinking,growing
forming,growing,merging,splitting
forming,continuing,merging,splitting
growing,continuing,merging,splitting
merging,shrinking,shrinking,splitting
continuing,merging,splitting,continuing
growing,splitting,shrinking,continuing
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
growing,shrinking,growing,splitting
growing,shrinking,growing,splitting
merging,splitting,splitting,continuing
continuing,continuing,growing,continuing
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
growing,merging,shrinking,dissolving
merging,splitting,splitting,continuing
merging,splitting,continuing,continuing
merging,splitting,continuing,continuing
shrinking,merging,splitting,continuing
forming,shrinking,continuing,continuing
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,shrinking,continuing
forming,merging,growing,shrinking
forming,merging,shrinking,dissolving
forming,shrinking,shrinking,continuing
forming,merging,splitting,continuing
forming,growing,continuing,dissolving
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,splitting,dissolving
forming,growing,shrinking,continuing
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,growing,growing,growing
forming,growing,continuing,shrinking
forming,growing,merging,splitting
forming,growing,splitting,dissolving
forming,growing,splitting,dissolving
forming,growing,growing,shrinking
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,splitting,growing
forming,merging,splitting,shrinking
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,continuing,merging,splitting
forming,merging,splitting,shrinking
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,continuing,splitting,dissolving
forming,continuing,shrinking,dissolving
forming,merging,splitting,continuing
forming,growing,continuing,shrinking
forming,growing,shrinking,dissolving
forming,growing,splitting,dissolving
forming,merging,shrinking,shrinking
forming,merging,splitting,shrinking
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,growing,growing,growing
forming,merging,splitting,shrinking
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,merging,splitting,continuing
forming,merging,shrinking,merging
forming,merging,shrinking,dissolving
forming,continuing,continuing,dissolving
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,merging,splitting
forming,merging,shrinking,merging
forming,growing,shrinking,dissolving
forming,growing,growing,shrinking
forming,merging,growing,shrinking
growing,growing,growing,shrinking
growing,continuing,merging,splitting
growing,continuing,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,shrinking,shrinking,splitting
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
merging,splitting,splitting,continuing
merging,splitting,splitting,continuing
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
growing,shrinking,continuing,dissolving
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
continuing,merging,shrinking,dissolving
merging,splitting,splitting,continuing
merging,splitting,splitting,continuing
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,merging,shrinking,dissolving
continuing,continuing,continuing,continuing
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,merging,splitting,shrinking
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,shrinking
merging,splitting,merging,shrinking
merging,splitting,shrinking,merging
forming,continuing,growing,continuing
forming,growing,shrinking,continuing
forming,growing,shrinking,dissolving
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,continuing,continuing,dissolving
forming,continuing,growing,continuing
forming,shrinking,merging,shrinking
forming,growing,merging,splitting
forming,growing,merging,splitting
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,shrinking,dissolving
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,merging,growing,splitting
forming,continuing,merging,merging
forming,continuing,merging,merging
forming,continuing,merging,merging
forming,continuing,merging,merging
forming,growing,growing,shrinking
forming,growing,merging,splitting
forming,growing,merging,splitting
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,growing,growing,merging
forming,continuing,continuing,dissolving
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,shrinking
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,shrinking
forming,splitting,shrinking,merging
forming,splitting,shrinking,merging
forming,growing,shrinking,continuing
forming,merging,shrinking,dissolving
forming,merging,shrinking,shrinking
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,shrinking
forming,merging,shrinking,dissolving
forming,growing,merging,splitting
forming,continuing,continuing,dissolving
forming,merging,splitting,shrinking
forming,merging,splitting,shrinking
forming,merging,splitting,shrinking
forming,merging,splitting,shrinking
forming,merging,splitting,dissolving
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,shrinking
forming,growing,merging,splitting
forming,merging,shrinking,shrinking
forming,merging,merging,shrinking
forming,growing,shrinking,dissolving
forming,shrinking,shrinking,growing
forming,merging,shrinking,merging
forming,continuing,continuing,continuing
forming,growing,shrinking,growing
forming,growing,growing,splitting
forming,merging,shrinking,merging
forming,growing,shrinking,dissolving
forming,continuing,continuing,continuing
forming,continuing,merging,splitting
continuing,merging,splitting,dissolving
growing,shrinking,growing,splitting
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
continuing,shrinking,continuing,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
shrinking,growing,merging,splitting
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,growing,splitting,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
continuing,merging,merging,splitting
growing,merging,splitting,dissolving
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
growing,merging,splitting,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
continuing,continuing,continuing,dissolving
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,merging,merging,splitting
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,splitting
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,merging,splitting,dissolving
merging,merging,splitting,dissolving
merging,merging,splitting,dissolving
growing,merging,splitting,dissolving
growing,merging,splitting,dissolving
merging,merging,splitting,dissolving
merging,merging,splitting,dissolving
merging,merging,splitting,dissolving
merging,merging,splitting,dissolving
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
merging,splitting,merging,merging
forming,continuing,continuing,dissolving
forming,growing,growing,continuing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,growing,shrinking,growing
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,merging,splitting,merging
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,growing,splitting
forming,growing,shrinking,growing
forming,continuing,continuing,continuing
forming,continuing,continuing,continuing
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,merging,merging,splitting
forming,growing,splitting,shrinking
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,shrinking,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,merging,merging
forming,growing,continuing,growing
forming,growing,continuing,growing
forming,growing,continuing,growing
